['Thursday - 06 May 2021', '11:00', 'Gym Entry Time', '1490030']
['Thursday - 06 May 2021', '11:30', 'Gym Entry Time', '1490030']
['Thursday - 06 May 2021', '12:00', 'MetCon', '1523526']
['Thursday - 06 May 2021', '12:00', 'Sweat Studio Time', '1522454']
['Thursday - 06 May 2021', '12:00', 'Gym Entry Time', '1490445']
['Thursday - 06 May 2021', '12:30', 'Gym Entry Time', '1490600']
['Thursday - 06 May 2021', '12:30', 'Holistic Studio Time', '1522604']
['Thursday - 06 May 2021', '13:00', 'Gym Entry Time', '1490756']
['Thursday - 06 May 2021', '13:00', 'Ride Studio Time', '1522866']
['Thursday - 06 May 2021', '13:30', 'Gym Entry Time', '1491681']
['Thursday - 06 May 2021', '14:00', 'Gym Entry Time', '1491733']
['Thursday - 06 May 2021', '14:30', 'Gym Entry Time', '1491785']
['Thursday - 06 May 2021', '15:00', 'Gym Entry Time', '1491814']
['Thursday - 06 May 2021', '15:30', 'Gym Entry Time', '1491889']
['Thursday - 06 May 2021', '16:00', 'Gym Entry Time', '1491941']
['Thursday - 06 May 2021', '16:30', 'Gym Time', '1491993']
['Thursday - 06 May 2021', '17:00', 'Sweat Studio Time', '1522504']
['Thursday - 06 May 2021', '17:00', 'Gym Time', '1492045']
['Thursday - 06 May 2021', '17:30', 'Gym Entry Time', '1492074']
['Thursday - 06 May 2021', '17:30', 'Ride Studio Time', '1522884']
['Thursday - 06 May 2021', '18:00', 'Killer Combat', '1523502']
['Thursday - 06 May 2021', '18:00', 'Gym Entry Time', '1492149']
['Thursday - 06 May 2021', '18:00', 'Holistic Studio Time', '1522614']
['Thursday - 06 May 2021', '18:30', 'Gym Entry Time', '1492201']
['Thursday - 06 May 2021', '18:45', 'Ride Studio Time', '1522894']
['Thursday - 06 May 2021', '19:00', 'Gym Entry Time', '1492253']
['Thursday - 06 May 2021', '19:30', 'Gym Entry Time', '1492282']
['Thursday - 06 May 2021', '20:00', 'Gym Entry Time', '1492357']
['Thursday - 06 May 2021', '20:30', 'Gym Entry Time', '1492409']
['Thursday - 06 May 2021', '21:00', 'Gym Entry Time', '1492461']
['Thursday - 06 May 2021', '21:30', 'Gym Entry Time', '1492513']
['Thursday - 06 May 2021', '22:00', 'Last Entry Time', '1497074']
['Friday - 07 May 2021', '22:00', 'Last Entry Time', '1497074']
['Friday - 07 May 2021', '22:00', 'Last Entry Time', '1497074']
['Friday - 07 May 2021', '06:00', 'Gym Entry Time', '1492617']
['Friday - 07 May 2021', '06:30', 'Gym Time', '1492669']
['Friday - 07 May 2021', '07:00', 'MetCon', '1523530']
['Friday - 07 May 2021', '07:00', 'Ride Studio Time', '1522904']
['Friday - 07 May 2021', '07:00', 'Gym Entry Time', '1492721']
['Friday - 07 May 2021', '07:30', 'Gym Time', '1492773']
